,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,3,5,1,30,20,28,204.789,12.627,14.31,60.58864101946949,66.20480938966274,64.6094212413907,65.12083058989643,66.67873277888297,67.0062288944602,66.9983299181342,67.23182441784739,67.39873586375117,67.43504457175732,67.46766582494973,67.50721767035127,67.52646003239154,67.53477674304246,67.54270610004663,67.54847083373069,67.55132661747932,67.55314186300039,67.55456215970516,67.55543560420274,67.55593308780789,67.55627866802214,67.55651411827802,67.55665842649935,67.55674577094912,67.5568027347207,67.55684071056842,67.55686349607706
11,3,6,1,30,20,28,211.489,12.84,14.543,64.8587630623579,66.15514837359785,62.22396077162027,65.88509832286834,67.11029031238556,66.09177807650565,66.88302385169862,67.41430216373205,67.20357038714289,67.36111319141388,67.54591126159428,67.51736101927757,67.54784043465853,67.60554093768596,67.60762960931062,67.6141006937623,67.63107589769363,67.6346608177185,67.63644948014617,67.6413065910697,67.64315221726893,67.64380540184975,67.6451877227068,67.64593204932213,67.64619788025617,67.64660042424201,67.6468738503456,67.64698777788877
12,4,3,1,30,20,28,208.992,12.384,14.457,63.643038451677555,62.987222144627566,62.06059247230887,62.672056786805385,63.95684427415132,64.06414503188729,64.24705570243596,64.53432020493746,64.74204049680232,64.8516008174777,64.95532425035833,65.04340163397788,65.10680231174825,65.15409363491534,65.1925517759025,65.22243497047424,65.24514832499622,65.26276911833882,65.27653916072249,65.28717619566916,65.29539416911601,65.30177031394838,65.30671476932167,65.31054273477196,65.3135048508942,65.31579859209656,65.31757965935468,65.31895818262696
13,4,4,1,30,20,28,198.4,12.227,14.085,60.14056778979301,59.98164266466498,64.0114345552504,64.03606569008231,65.67995279347896,65.83726014749408,66.40231038090586,66.48213181523084,66.65141675161719,66.67728969666958,66.7219189129114,66.72787732341885,66.73833966946601,66.73917513811588,66.74136254694461,66.74131697592735,66.74172331749796,66.7416359730482,66.74170053198932,66.74166635372639,66.74167015131115,66.74165875855684,66.74165875855684,66.74165496097207,66.74165116338729,66.74165496097207,66.74165496097207,66.74165496097207
14,4,5,1,30,20,28,201.476,12.201,14.194,61.665332254058114,61.32338063204586,63.50323796346187,64.25269891340731,64.89323373933433,65.25985637081861,65.50627025392652,65.66135222326517,65.76191226803064,65.82635728161334,65.86791045418977,65.89464165340065,65.91186370034217,65.92295264787673,65.9300921072483,65.9346947799921,65.93765689611435,65.93956328366994,65.94079749872088,65.94158739635348,65.94209247512816,65.94242666258812,65.94263932733536,65.94277604038714,65.94286338483691,65.94292414619326,65.94295832445621,65.94298110996485
15,4,6,1,30,20,28,192.039,12.13,13.858,57.260103537732356,61.18761128006577,64.3144248562932,66.2145350042641,67.04238949666022,67.31420922189355,67.27249275317192,67.12877695505618,66.99367787678837,66.9027712925136,66.85777750813364,66.8440986077845,66.84641893208027,66.8540254943788,66.8612029295981,66.86596510090232,66.86832719863057,66.8690449421525,66.86891962185501,66.86852087545394,66.86814871214628,66.86789807155132,66.8677765488386,66.86773857299089,66.86774616816044,66.86776895366907,66.86778414400816,66.86779933434724
16,12,3,1,30,20,28,72.653,7.367,8.524,54.800930048742885,57.36891193662285,63.70674673381447,70.52019864303469,75.6865430969715,81.8584538203001,82.85678189311622,78.18847169411778,73.84228782582878,66.89688883370161,63.44949834135174,57.85603003413379,58.70165532447099,60.966960212051866,66.25852242867946,71.81035971283316,74.87294094022512,78.3669505832374,78.62714210389852,75.5068223976314,71.7608733856678,66.31263041651248,64.07376431411504,61.60540256876945,62.04158556052446,63.96230520105362,67.64593964449166,72.0277106796801
17,12,4,1,30,20,28,75.693,7.459,8.7,56.43705678765773,61.084886611980195,65.14651745329499,67.5207066914618,73.11986947704553,79.87395754110813,84.01866054931281,79.17052711618541,74.20420524978041,67.0197217131555,64.28813797450066,59.25931545791626,59.96142242454588,61.299423568511,65.01050315709709,68.62178221787214,73.49806714691519,76.88997112815976,78.91678769205211,75.70761209728717,72.28503502383828,67.52774361604452,65.44471520235538,62.679815252494805,62.31847506142854,62.869421064996715,65.86265459686517,69.1102427616
18,12,5,1,30,20,28,16.442,3.587,4.055,51.44892729069888,54.33176503324211,58.37611306625902,67.79824937694669,76.96598358495831,82.97030309470891,86.36890221790671,84.61438007734417,79.00576130567788,69.8428158520639,60.37776873224377,52.74012889872491,50.243545402145386,52.433378988757724,58.32626976612508,67.46122132359146,76.7728232331097,83.13904877405761,86.01409387264846,84.75617429756521,79.28441288591623,70.09612614911794,59.96217814391553,52.66989636594951,49.958677175635096,51.83877974823415,57.99166457185447,67.11872474816441
19,12,6,1,30,20,28,72.344,7.311,8.506,57.639121485912796,58.521281440550084,66.23052663373946,69.74226720005274,78.1915857136309,81.63713817495106,83.84618184413313,81.82023112956881,77.13774454661606,68.21243296011686,61.89595577968358,57.70007651908993,59.87486977121233,61.43798984167575,67.75119730162024,72.28497806006669,78.6232078060746,81.25973420029878,82.7926938525021,80.24380811964869,75.45570690659879,68.79592806276678,64.03888729556799,61.37034346413016,62.312307783758634,64.71418901008367,69.72498439175486,74.21302703920603
